,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,imputed,pipeline_category
0,0.84089184,49.976826,4200.0,1,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
1,0.8014082,45.919502,4200.0,1,0,8,1,BNCI2014-008,EEGNeX,P300,WithinSession,False,Deep Learning
2,0.8286347,31.219826,4200.0,1,0,8,1,BNCI2014-008,"EEGNet-8,2",P300,WithinSession,False,Deep Learning
3,0.756351,29.563738,4200.0,1,0,8,1,BNCI2014-008,ShallowConvNet,P300,WithinSession,False,Deep Learning
4,0.8293306,50.884,4200.0,2,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
5,0.8132898,47.224266,4200.0,2,0,8,1,BNCI2014-008,EEGNeX,P300,WithinSession,False,Deep Learning
6,0.8288796,31.808126,4200.0,2,0,8,1,BNCI2014-008,"EEGNet-8,2",P300,WithinSession,False,Deep Learning
7,0.776549,28.175425,4200.0,2,0,8,1,BNCI2014-008,ShallowConvNet,P300,WithinSession,False,Deep Learning
8,0.8886123,41.980583,4200.0,3,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
9,0.8630163,48.097683,4200.0,3,0,8,1,BNCI2014-008,EEGNeX,P300,WithinSession,False,Deep Learning
10,0.883,31.439943,4200.0,3,0,8,1,BNCI2014-008,"EEGNet-8,2",P300,WithinSession,False,Deep Learning
11,0.82312655,29.035809,4200.0,3,0,8,1,BNCI2014-008,ShallowConvNet,P300,WithinSession,False,Deep Learning
12,0.79616326,43.1235,4200.0,4,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
13,0.75846124,46.314472,4200.0,4,0,8,1,BNCI2014-008,EEGNeX,P300,WithinSession,False,Deep Learning
14,0.8078123,27.757835,4200.0,4,0,8,1,BNCI2014-008,"EEGNet-8,2",P300,WithinSession,False,Deep Learning
15,0.7704,28.004864,4200.0,4,0,8,1,BNCI2014-008,ShallowConvNet,P300,WithinSession,False,Deep Learning
16,0.85887754,45.331154,4200.0,5,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
17,0.8457571,47.5705,4200.0,5,0,8,1,BNCI2014-008,EEGNeX,P300,WithinSession,False,Deep Learning
18,0.8637918,33.089607,4200.0,5,0,8,1,BNCI2014-008,"EEGNet-8,2",P300,WithinSession,False,Deep Learning
19,0.8057714,25.180527,4200.0,5,0,8,1,BNCI2014-008,ShallowConvNet,P300,WithinSession,False,Deep Learning
20,0.8714347,45.19516,4200.0,6,0,8,1,BNCI2014-008,EEGITNet,P300,WithinSession,False,Deep Learning
